[ 2024-07-09 19:33:36,298  97 werkzeug - WARNING -  * Debugger is active!]
[ 2024-07-09 19:33:36,307  97 werkzeug - INFO -  * Debugger PIN: 121-992-361]
[ 2024-07-09 19:33:44,901  21 COMPONENTS - INFO - Starting Data Ingestion]
[ 2024-07-09 19:33:45,968  25 COMPONENTS - INFO - Data Ingestion completed]
[ 2024-07-09 19:33:45,968  28 COMPONENTS - INFO - Text Cleaning and Preprocessing Started]
[ 2024-07-09 19:33:45,968  29 COMPONENTS - INFO - Removing all the NaN values from the title column]
[ 2024-07-09 19:33:46,160  35 COMPONENTS - INFO - Removed all NaN Values from title column]
[ 2024-07-09 19:33:46,160  36 COMPONENTS - INFO - Applying the function to concatenate two columns to form Single Title Description]
[ 2024-07-09 19:33:46,399  40 COMPONENTS - INFO - Function applied]
[ 2024-07-09 19:33:46,399  41 COMPONENTS - INFO - Removing duplicates]
[ 2024-07-09 19:33:46,416  45 COMPONENTS - INFO - Removed duplicates from titleDesc Column]
[ 2024-07-09 19:33:46,416  46 COMPONENTS - INFO - Dropping unnecessary Columns]
[ 2024-07-09 19:33:46,424  50 COMPONENTS - INFO - Dropped unnecessary Columns. Remaining columns are : Index(['Unnamed: 0', 'title', 'average_rating', 'rating_number', 'description',
       'images', 'store', 'parent_asin', 'titleDesc'],
      dtype='object')]
[ 2024-07-09 19:33:46,424  51 COMPONENTS - INFO - Lowering the case of titleDescr column]
[ 2024-07-09 19:33:46,438  55 COMPONENTS - INFO - Lowered the case of titleDesc column]
[ 2024-07-09 19:33:46,438  56 COMPONENTS - INFO - Removing Punctuations from the titleDesc column]
[ 2024-07-09 19:33:46,582  60 COMPONENTS - INFO - Removed Punctuations from the titleDesc column]
[ 2024-07-09 19:33:46,582  61 COMPONENTS - INFO - Removing stopwords from the titleDescr column]
[ 2024-07-09 19:34:45,081  65 COMPONENTS - INFO - Removed stopwords from the titleDescr column, Example value looks like : genuine leather belt men single prong metal buckle brown 4648]
[ 2024-07-09 19:34:45,082  66 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-09 19:34:45,264  70 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-09 19:34:45,264  71 COMPONENTS - INFO - Removing all the NaN values from the titleDescr column]
[ 2024-07-09 19:34:45,398  77 COMPONENTS - INFO - Removed all NaN Values from titleDescr column]
[ 2024-07-09 19:34:45,398  78 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-09 19:34:45,398  79 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-09 19:34:46,595  83 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-09 19:34:46,595  32 COMPONENTS - INFO - Starting the training process]
[ 2024-07-09 19:34:46,595  33 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
[ 2024-07-09 19:34:46,623  448 gensim.utils - INFO - Word2Vec lifecycle event {'params': 'Word2Vec<vocab=0, vector_size=100, alpha=0.03>', 'datetime': '2024-07-09T19:34:46.596178', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'created'}]
[ 2024-07-09 19:34:46,623  45 COMPONENTS - INFO - Initialized W2V model]
[ 2024-07-09 19:34:46,623  46 COMPONENTS - INFO - Building Vocab Count]
[ 2024-07-09 19:34:46,623  582 gensim.models.word2vec - INFO - collecting all words and their counts]
[ 2024-07-09 19:34:46,623  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #0, processed 0 words, keeping 0 word types]
[ 2024-07-09 19:34:46,639  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #10000, processed 160956 words, keeping 23009 word types]
[ 2024-07-09 19:34:46,653  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #20000, processed 317897 words, keeping 35861 word types]
[ 2024-07-09 19:34:46,668  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #30000, processed 473395 words, keeping 46120 word types]
[ 2024-07-09 19:34:46,683  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #40000, processed 630506 words, keeping 55382 word types]
[ 2024-07-09 19:34:46,700  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #50000, processed 787077 words, keeping 63837 word types]
