[ 2024-07-12 00:25:40,995  107 dagshub - INFO - Accessing as sanket-profile]
[ 2024-07-12 00:25:41,417  107 dagshub - INFO - Initialized MLflow to track repo "sanket-profile/recommendationSystem"]
[ 2024-07-12 00:25:41,418  107 dagshub - INFO - Repository sanket-profile/recommendationSystem initialized!]
[ 2024-07-12 00:25:45,635  68 COMPONENTS - INFO - Spliting the titleDescr column into list and removing duplicate words]
[ 2024-07-12 00:25:46,866  72 COMPONENTS - INFO - Splited the titleDescr column into list and removed duplicate words]
[ 2024-07-12 00:25:46,866  73 COMPONENTS - INFO - Text Cleaning and Preprocessing completed]
[ 2024-07-12 00:25:46,866  74 COMPONENTS - INFO - Saving the transformed df into Artifact Folder]
[ 2024-07-12 00:25:51,680  78 COMPONENTS - INFO - Saved the transformed df into Artifact Folder]
[ 2024-07-12 00:25:53,628  41 COMPONENTS - INFO - Starting the training process]
[ 2024-07-12 00:25:53,629  42 COMPONENTS - INFO - Initializing W2V model with 100 feature output]
[ 2024-07-12 00:25:53,685  448 gensim.utils - INFO - Word2Vec lifecycle event {'params': 'Word2Vec<vocab=0, vector_size=100, alpha=0.03>', 'datetime': '2024-07-12T00:25:53.629946', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'created'}]
[ 2024-07-12 00:25:53,685  54 COMPONENTS - INFO - Initialized W2V model]
[ 2024-07-12 00:25:53,685  55 COMPONENTS - INFO - Building Vocab Count]
[ 2024-07-12 00:25:53,686  582 gensim.models.word2vec - INFO - collecting all words and their counts]
[ 2024-07-12 00:25:53,686  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #0, processed 0 words, keeping 0 word types]
[ 2024-07-12 00:25:53,718  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #10000, processed 303438 words, keeping 46173 word types]
[ 2024-07-12 00:25:53,748  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #20000, processed 610043 words, keeping 71278 word types]
[ 2024-07-12 00:25:53,780  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #30000, processed 913728 words, keeping 91650 word types]
[ 2024-07-12 00:25:53,810  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #40000, processed 1214370 words, keeping 109521 word types]
[ 2024-07-12 00:25:53,842  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #50000, processed 1513691 words, keeping 126267 word types]
[ 2024-07-12 00:25:53,875  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #60000, processed 1816805 words, keeping 142131 word types]
[ 2024-07-12 00:25:53,909  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #70000, processed 2119524 words, keeping 157531 word types]
[ 2024-07-12 00:25:53,943  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #80000, processed 2421663 words, keeping 172089 word types]
[ 2024-07-12 00:25:53,981  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #90000, processed 2724623 words, keeping 185895 word types]
[ 2024-07-12 00:25:54,015  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #100000, processed 3026260 words, keeping 199545 word types]
[ 2024-07-12 00:25:54,049  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #110000, processed 3326556 words, keeping 212364 word types]
[ 2024-07-12 00:25:54,083  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #120000, processed 3625932 words, keeping 225111 word types]
[ 2024-07-12 00:25:54,124  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #130000, processed 3925729 words, keeping 237810 word types]
[ 2024-07-12 00:25:54,159  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #140000, processed 4228640 words, keeping 250136 word types]
[ 2024-07-12 00:25:54,193  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #150000, processed 4526892 words, keeping 262135 word types]
[ 2024-07-12 00:25:54,228  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #160000, processed 4830454 words, keeping 274044 word types]
[ 2024-07-12 00:25:54,263  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #170000, processed 5126970 words, keeping 285384 word types]
[ 2024-07-12 00:25:54,299  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #180000, processed 5426563 words, keeping 297064 word types]
[ 2024-07-12 00:25:54,334  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #190000, processed 5729138 words, keeping 308306 word types]
[ 2024-07-12 00:25:54,370  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #200000, processed 6026054 words, keeping 318961 word types]
[ 2024-07-12 00:25:54,405  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #210000, processed 6325375 words, keeping 329759 word types]
[ 2024-07-12 00:25:54,441  565 gensim.models.word2vec - INFO - PROGRESS: at sentence #220000, processed 6622834 words, keeping 340532 word types]
[ 2024-07-12 00:25:54,442  588 gensim.models.word2vec - INFO - collected 340600 word types from a corpus of 6624516 raw words and 220039 sentences]
[ 2024-07-12 00:25:54,442  637 gensim.models.word2vec - INFO - Creating a fresh vocabulary]
[ 2024-07-12 00:25:54,891  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=1 retains 340600 unique words (100.00% of original 340600, drops 0)', 'datetime': '2024-07-12T00:25:54.890988', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'prepare_vocab'}]
[ 2024-07-12 00:25:54,891  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'effective_min_count=1 leaves 6624516 word corpus (100.00% of original 6624516, drops 0)', 'datetime': '2024-07-12T00:25:54.891097', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'prepare_vocab'}]
[ 2024-07-12 00:25:55,546  745 gensim.models.word2vec - INFO - deleting the raw counts dictionary of 340600 items]
[ 2024-07-12 00:25:55,549  748 gensim.models.word2vec - INFO - sample=0.001 downsamples 19 most-common words]
[ 2024-07-12 00:25:55,550  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 6413668.509691262 word corpus (96.8%% of prior 6624516)', 'datetime': '2024-07-12T00:25:55.549998', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'prepare_vocab'}]
[ 2024-07-12 00:25:56,671  805 gensim.models.word2vec - INFO - estimated required memory for 340600 words and 100 dimensions: 442780000 bytes]
[ 2024-07-12 00:25:56,671  863 gensim.models.word2vec - INFO - resetting layer weights]
[ 2024-07-12 00:25:56,777  448 gensim.utils - INFO - Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2024-07-12T00:25:56.777082', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'build_vocab'}]
[ 2024-07-12 00:25:56,777  60 COMPONENTS - INFO - Completed Building Vocab Count]
[ 2024-07-12 00:25:56,777  61 COMPONENTS - INFO - Starting training W2Vmodel]
[ 2024-07-12 00:25:56,777  448 gensim.utils - INFO - Word2Vec lifecycle event {'msg': 'training model with 8 workers on 340600 vocabulary and 100 features, using sg=0 hs=0 sample=0.001 negative=20 window=7 shrink_windows=True', 'datetime': '2024-07-12T00:25:56.777270', 'gensim': '4.3.2', 'python': '3.12.0 | packaged by Anaconda, Inc. | (main, Oct  2 2023, 12:22:05) [Clang 14.0.6 ]', 'platform': 'macOS-14.2.1-arm64-arm-64bit', 'event': 'train'}]
[ 2024-07-12 00:25:57,799  1608 gensim.models.word2vec - INFO - EPOCH 0 - PROGRESS: at 15.50% examples, 986453 words/s, in_qsize 16, out_qsize 0]
[ 2024-07-12 00:25:58,804  1608 gensim.models.word2vec - INFO - EPOCH 0 - PROGRESS: at 32.20% examples, 1026015 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:25:59,805  1608 gensim.models.word2vec - INFO - EPOCH 0 - PROGRESS: at 48.28% examples, 1028478 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:00,808  1608 gensim.models.word2vec - INFO - EPOCH 0 - PROGRESS: at 64.11% examples, 1023967 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:01,816  1608 gensim.models.word2vec - INFO - EPOCH 0 - PROGRESS: at 80.17% examples, 1022328 words/s, in_qsize 15, out_qsize 1]
[ 2024-07-12 00:26:02,827  1608 gensim.models.word2vec - INFO - EPOCH 0 - PROGRESS: at 96.49% examples, 1023815 words/s, in_qsize 16, out_qsize 0]
[ 2024-07-12 00:26:03,018  1652 gensim.models.word2vec - INFO - EPOCH 0: training on 6624516 raw words (6413820 effective words) took 6.2s, 1028135 effective words/s]
[ 2024-07-12 00:26:04,028  1608 gensim.models.word2vec - INFO - EPOCH 1 - PROGRESS: at 15.34% examples, 988187 words/s, in_qsize 14, out_qsize 1]
[ 2024-07-12 00:26:05,034  1608 gensim.models.word2vec - INFO - EPOCH 1 - PROGRESS: at 31.00% examples, 993595 words/s, in_qsize 14, out_qsize 1]
[ 2024-07-12 00:26:06,059  1608 gensim.models.word2vec - INFO - EPOCH 1 - PROGRESS: at 45.38% examples, 963633 words/s, in_qsize 13, out_qsize 2]
[ 2024-07-12 00:26:07,074  1608 gensim.models.word2vec - INFO - EPOCH 1 - PROGRESS: at 59.61% examples, 946427 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:08,077  1608 gensim.models.word2vec - INFO - EPOCH 1 - PROGRESS: at 75.07% examples, 955317 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:09,091  1608 gensim.models.word2vec - INFO - EPOCH 1 - PROGRESS: at 91.34% examples, 966056 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:09,654  1652 gensim.models.word2vec - INFO - EPOCH 1: training on 6624516 raw words (6414378 effective words) took 6.6s, 966983 effective words/s]
[ 2024-07-12 00:26:10,668  1608 gensim.models.word2vec - INFO - EPOCH 2 - PROGRESS: at 14.30% examples, 923278 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:11,686  1608 gensim.models.word2vec - INFO - EPOCH 2 - PROGRESS: at 29.80% examples, 950440 words/s, in_qsize 16, out_qsize 0]
[ 2024-07-12 00:26:12,692  1608 gensim.models.word2vec - INFO - EPOCH 2 - PROGRESS: at 45.53% examples, 969743 words/s, in_qsize 15, out_qsize 0]
[ 2024-07-12 00:26:13,694  1608 gensim.models.word2vec - INFO - EPOCH 2 - PROGRESS: at 61.87% examples, 987403 words/s, in_qsize 16, out_qsize 0]
